Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
AL ALIM,69836400,SPS,Swasta,RAJAMANDALA RT. 03 / 12,Mandalamukti,Cikalongwetan,-5.443757000000,114.421127000000,18,16,34,3,2
Al Amanah,69836136,SPS,Swasta,Kp. Weninggalih,Weninggalih,Sindangkerta,-7.018891000000,107.382483000000,18,13,31,1,1
AL AMIN RANCASUNI,69836411,SPS,Swasta,KP. SANCANG RT. 02 / 14,Cisomang Barat,Cikalongwetan,-6.757287800000,107.483078800000,21,22,43,2,2
AL BAROKAH,69835961,KB,Swasta,KP. TONJONG RT. 02/02,Nyalindung,Cipatat,-6.828969200000,107.344332400000,39,17,56,2,1
AL BASYAR,69835812,KB,Swasta,CIKABODAS RT. 01 /01,Tamanjaya,Gununghalu,-7.019841700000,107.350633200000,0,0,0,1,1
AL FAJRI,69836110,SPS,Swasta,KP. LAMPEGAN,Sukamanah,Rongga,-6.995022600000,107.226401100000,10,10,20,1,1
AL FIKRI,69836391,SPS,Swasta,CIPARE RT. 02 / 08,Cipada,Cikalongwetan,-6.775000000000,107.506900000000,10,7,17,1,2
Al Firdaus,69835963,KB,Swasta,Kp. Cimentang Rt. 02 /07,Nyalindung,Cipatat,-6.789300000000,107.445400000000,9,14,23,4,1
AL FURQON,69836396,SPS,Swasta,KP. PANGHEOTAN RT. 01 / 16,Mandalamukti,Cikalongwetan,-6.733358700000,107.405643000000,12,16,28,3,1
AL HIDAYAH,69836160,SPS,Swasta,SUKAMANAH RT 01 RW 05,Bongas,Cililin,-6.957300000000,107.423400000000,19,13,32,3,1
AL HIKMAH,69835825,KB,Swasta,CIMANTAR,Cintakarya,Sindangkerta,-6.990600000000,107.402300000000,9,19,28,2,1
AL HUDA,69835770,KB,Swasta,GENGGONG,Cinengah,Rongga,-6.963818000000,107.281817000000,3,0,3,2,1
AL HUDA,69836383,SPS,Swasta,BONGKOK Rt. 03/15,Mekarjaya,Cikalongwetan,-6.770293000000,107.472730000000,11,8,19,1,1
AL IKHLAS,69836059,KB,Swasta,SUKALUYU,Puteran,Cikalongwetan,-6.772941200000,107.490304400000,10,15,25,4,1
AL IKHSAN,69836077,KB,Swasta,BOJONG RT. 02 RW. 04,Bojongmekar,Cipeundeuy,-6.777659600000,107.355348900000,10,19,29,2,1
AL IKHWAN,69835852,KB,Swasta,CIBAREGBEG,Bongas,Cililin,-6.956338000000,107.423249000000,8,8,16,2,2
AL INAYAH II,69835735,TK,Swasta,KOMP. PADASUKA INDAH II C NO. 25,Gadobangkong,Ngamprah,-6.851231900000,107.507525600000,11,15,26,3,2
AL ISTIQOMAH,69835831,KB,Swasta,SUKAJADI,Cicangkang Girang,Sindangkerta,-6.996846800000,107.405198300000,22,18,40,2,0
AL JABAAR,69835943,KB,Swasta,KP. NYOMPLONG,Cipatat,Cipatat,-6.834666200000,107.406850800000,3,0,3,1,1
AL JIHAD,69836382,SPS,Swasta,KP. PANGLESERAN RT. 03 / 09,Mandalasari,Cikalongwetan,-6.759695000000,107.433087000000,15,10,25,3,1
